id,name,x,y,player_id,rank,unknown
151,Barbarian+village,509,491,0,27,0
152,SHARKSVILLE+101,497,451,103936,76,0
153,Barbarian+village,482,508,0,21,0
154,alanbs+village,499,460,2095389,74,0
155,rotl,498,454,2735260,155,0
156,Barbarian+village,531,543,0,27,0
157,sequia+25,496,461,3730885,187,0
158,Bonus+village,502,425,0,22,7
159,sir+murphs+village,501,457,4575434,169,0
160,Barbarian+village,477,566,0,21,0
161,lordjer61s+village,487,470,7587840,21,0
162,Sc00tm3ns+village,488,468,4701449,21,0
163,Lady+Madelinas+village,482,440,7938947,21,0
164,Barbarian+village,441,463,0,27,0
165,Bonus+village,502,548,0,23,5
166,The+village+of+VAK,472,496,1590771,189,0
167,snatskes+village,511,450,9149805,79,0
168,Barbarian+village,488,537,0,21,0
169,waring+kings+village,495,474,9669713,21,0
170,madalin.18s+village,488,453,9971552,97,0
171,Barbarian+village,562,456,0,21,0
172,Mata-Haris+village,506,443,10384611,21,0
173,ST-704+STINGER+N-1,502,469,10516819,120,0
174,WildManOfBorneos+village,499,476,3442394,132,0
175,Bonus+village,537,468,0,21,7
176,SlackerJs+village,505,472,10627241,21,0
177,The+Baron,494,474,9046259,184,0
178,bill+the+builders+village,501,465,858246,128,0
179,Barbarian+village,485,574,0,21,0
180,LazySmurfers+village,505,470,8735560,21,0
181,Barbarian+village,492,542,0,21,0
182,PurdueDragons+village,493,484,11112505,21,0
183,HERCULES1966s+village,506,474,9247761,21,0
184,RICH57s+village,510,466,9755423,21,0
185,LOK621s+village,502,485,10222717,21,0
186,luzer11s+village,477,459,10675040,167,0
187,Barbarian+village,547,468,0,21,0
188,mariukas456s+village,492,470,11134534,21,0
189,togabriels+village,490,453,11176139,127,0
190,PM-34s+village,513,442,11366937,126,0
191,Barbarian+village,466,553,0,27,0
192,trialmeplzs+village,500,471,11420419,135,0
193,Barbarian+village,500,522,0,22,0
194,coogars+village,483,456,11564485,180,0
195,coolkid2008s+village,499,445,848904195,154,0
196,Barbarian+village,564,539,0,21,0
197,Lord+Kick+Asss+village,505,465,849019535,21,0
198,Hedwigs+village,481,463,849049282,102,0
199,Barbarian+village,462,456,0,27,0
200,Bonus+village,549,499,0,25,9
201,Droxx69s+village,496,466,849050489,21,0
202,Barbarian+village,448,539,0,21,0
203,fliemels+village,483,453,849056715,128,0
204,Barbarian+village,457,502,0,27,0
205,Lord+fliemels+village,484,450,849063681,21,0
206,Barbarian+village,526,531,0,21,0
207,King+fliemels+village,488,457,849063686,21,0
208,Barbarian+village,477,461,0,22,0
209,HammerZones+village,524,524,848962004,21,0
210,Barbarian+village,518,506,0,22,0
211,98GSXtuners+village,457,493,8903140,49,0
212,Barbarian+village,460,498,0,27,0
213,sp0rtsfr3ak1750s+village,456,497,9069369,72,0
214,Barbarian+village,539,560,0,27,0
215,gopackgo58s+village,462,497,9770952,21,0
216,Barbarian+village,457,477,0,33,0
217,lionguard32s+village,505,458,2223359,128,0
218,lutetey99s+village,506,455,3407059,82,0
219,Barbarian+village,452,439,0,21,0
220,Berlyns+village,509,462,4208879,21,0
221,Queens+village,494,464,7571335,21,0
222,Shilohs+village,504,453,7605794,21,0
223,sunrising63s+village,496,456,9373633,165,0
224,AuroraMoons+village,513,445,10927288,114,0
225,Barbarian+village,471,447,0,21,0
226,Yasha+Ookamis+village,495,446,11085218,40,0
227,Barbarian+village,506,535,0,22,0
228,Forgot+the+PP+001,490,463,849021874,103,0
229,Barbarian+village,455,520,0,21,0
