7249,wolfgang1321,0,1,1495,1892
7297,darkx,0,1,21,6318
24949,FeudalKnight,8,1,220,4951
29924,Morthy,0,1,21,6319
44293,Lord+Stark,95,1,1088,2916
44897,C-Tunes,232,1,1708,1179
51051,bambamsam1997,35,1,1146,2704
51688,gargara,521,1,393,4415
54538,Blow,23,1,2302,90
55732,alex118,587,1,164,5274
70886,coni,405,1,1477,1836
71177,Seiyara,207,1,810,3536
72991,nemilosu,0,1,50,6050
76535,lucky+charms,420,1,1220,2484
87485,DrDeath,0,1,125,5443
89185,Rincewinds,0,1,72,5752
90219,AifoS,85,1,1320,2322
98430,BA3OB,0,1,876,3325
100945,scribe101,237,1,1443,1928
103936,Sharkey33,8,1,828,3447
110622,wannat8,0,1,115,5496
110657,kingshaun,0,1,153,5327
129409,pimptrump,84,1,950,3170
129789,killyoukillme,34,1,1134,2819
131000,aurelian74,420,1,606,3913
151892,demon+5577,352,1,1362,2158
162631,dcube,48,1,1450,1912
198577,orsamannen,44,1,130,5420
199197,zapeta,111,1,1885,749
221076,camarasa,152,1,2089,342
229111,zanjavornik2,99,1,1833,906
229373,Mr.A,260,1,2074,338
231394,KoE-CaShMaN,107,1,1306,2290
232469,Soultaker1979,100,1,1051,2994
241332,Peterale,0,1,385,4419
245387,WarrChief,369,1,820,3464
246400,Jones38,332,1,1166,2664
249960,churchill48018,260,1,1741,1086
250592,arjay52,34,1,988,3089
264399,Leopold+Fitz,167,1,1994,485
267865,Sir+King+Arthur,34,1,984,3105
275291,mustafa+kemal,0,1,251,4845
284191,sthenno,299,1,1367,2143
286100,Lord+of+the+Abyss,23,1,2345,64
289433,Nimwe,0,1,188,5131
295799,Chandragupt,29,1,2068,345
299620,lamber,509,1,1797,989
306834,smithythefitter,74,1,570,4044
309425,esy88,260,1,1551,1609
313276,gogeta+lv4,0,1,21,6320
316174,The+Lish,447,1,532,4146
322742,sami+protiv+svih,25,1,1499,1759
324359,eolver,108,1,1852,1023
332069,bubbucchio,0,1,1797,959
339648,coolnielsen,35,1,994,3074
344355,hoyt+10,150,1,1511,1718
345860,helioC,33,1,2089,303
350372,dandan347,3,1,1683,1315
354287,sccr3329,107,1,1368,2141
356754,mesho83,0,1,411,4358
378504,rrtt99,98,1,1025,3002
387170,Argonath1337,420,1,1427,1975
388007,Wandering+Fellow,332,1,1612,1434
391798,Arkest,0,1,50,6051
403579,..POP+SMOKE..,74,1,1168,2627
407231,lord+kjess,94,1,1657,1369
410642,CABOKING,0,1,119,5466
417097,karma15,0,1,268,4781
421027,Namaz,306,1,1912,672
421144,cyoby,268,1,1422,2087
428188,monsterbro,40,1,1540,1635
436623,gunszx,332,1,1855,822
445112,Daredevil+MephistO,0,1,87,5641
448825,MaJeSTee,0,1,21,6321
450223,Mr+Blood+Frenzy,420,1,1976,603
450874,Subzero0143,205,1,744,3643
480271,wider5,85,1,205,5019
493529,fesoj,107,1,2166,213
496502,harsh595,0,1,1191,2564
504127,Bushwackers,248,1,600,3967
508964,eedi,108,1,1154,2658
509966,jakal+man,20,1,1856,821
515889,lord+fish,209,1,1338,2311
520681,Majklina,0,1,495,4165
531357,gasetr,81,1,1911,701
533746,djpaulus,338,1,352,4519
555159,wdude,279,1,435,4292
560786,Krissy,369,1,795,3565
561464,Slacker,467,1,1122,2749
568199,joehor,504,1,1079,2864
579366,bunnyboy23,0,1,1207,2522
584532,kalix111,4,1,1141,2725
592622,Butonel,85,1,1522,1792
596728,mr.+magic,236,1,541,4069
599352,hatuey,369,1,1244,2429
602093,Ministry+Of+Darkness,248,1,651,3804
609123,lord+t-gg-a,279,1,1808,934
610572,chanevr,591,1,508,4140
622676,makobex,230,1,135,5401
634372,voyage3446,0,1,301,4677
672149,Strabo,219,1,1036,2972
672359,Decide+I+Cannot+K,48,1,2046,523
675422,Gabi922,589,1,173,5259
677298,Gelimar,0,1,257,4822
710045,Thewildwarriors,0,1,181,5170
710697,lyndon13,505,1,2297,88
714031,Denisius,0,1,1159,2715
722243,Roald+Dahl,134,1,878,3317
728619,windancer,0,1,1010,3035
733694,davyw,332,1,1071,2894
736490,King+Sid,474,1,615,3892
738909,Lady+Mihaela,260,1,768,3597
750816,the.hero,65,1,21,6322
778104,hua91,199,1,841,3410
792701,merls,35,1,1812,1032
794257,gazw,36,1,1673,1270
794996,chelsea+shed,209,1,899,3279
796743,ciptattoo,154,1,1641,1353
799718,marian74,0,1,144,5364
803518,fatman26,522,1,404,4372
817004,stars111,0,1,1067,2947
818554,Dord,229,1,1070,2896
828473,kintock,134,1,71,5770
840651,TWISTED%28GREEN%29,40,1,2075,335
843333,decebal1000,0,1,825,3453
848612,SendNoodz,0,1,21,6323
848848,roweber,0,1,117,5478
853386,906CLAP,24,1,1958,569
857010,wikker,0,1,21,6324
858246,bill+the+builder,248,1,1144,2790
861588,Alexandrite,0,1,386,4432
861692,hladni,531,1,1203,2604
865304,Grendelis,29,1,2039,403
865637,The+Gas,0,1,329,4589
868418,ss1w,462,1,1729,1126
873671,Seminarian,407,1,2223,152
885487,Dads+Army,190,1,1311,2276
889400,Chxrb,0,1,21,6325
901054,Salidan1192,0,1,325,4598
903859,Klrocks1,540,1,683,3753
909440,Mr+Shooting,190,1,2149,240
909921,hulkman1,48,1,1264,2448
921182,Oldtimer,134,1,326,4615
927772,enoo,425,1,1301,2366
948336,sir+merlin,48,1,1220,2485
950428,dwtrnx,447,1,566,4001
951633,dschultz,299,1,1223,2480
966781,Amnesia+bs,0,1,284,4724
982025,baggerzooi,561,1,744,3629
982547,Spanac96,58,1,1310,2345
987964,Predsjednik,53,1,272,4767
1019339,suhrim,94,1,1774,1014
1039556,dolomiti,0,1,993,3144
1043152,sendmeyourstuffnow,0,1,759,3589
1046638,rle2,0,1,232,4904
1047404,cocodelish,48,1,936,3200
1084192,krazykat69,307,1,2102,288
1089940,Wrath,0,1,400,4381
1090780,glossytop,57,1,392,4404
1110967,allouchu,0,1,1354,2173
1136680,latinoshadow02,465,1,1091,2950
1139841,Kids+Next+Door,407,1,2486,43
1147355,medooo,0,1,300,4682
1160381,DaPinkMaster,522,1,767,3575
1168846,werlo,349,1,1877,802
1172108,moxt,0,1,126,5435
1184981,MrTodd37,90,1,1446,1922
1190052,chins666,0,1,21,6326
1190535,asda4321,89,1,1952,746
1191124,boomerknight,0,1,192,5107
1194033,vikingodm,0,1,188,5132
1215265,Beowulf77,416,1,577,4004
1224496,Dead+Zone,0,1,650,3807
1227239,Drzzt,380,1,888,3302
1234902,dandyman,480,1,1491,1793
1240593,The+mega+A,0,1,640,3827
1266205,biff+bonzai,191,1,1635,1415
1284967,kingdino,219,1,1184,2582
1307800,Rider09,0,1,295,4694
1322456,Astral+Magus,0,1,31,6289
1324727,esrocked1,0,1,1958,570
1338392,gimily104,100,1,628,3893
1340513,I-AM-GROOT,467,1,1691,1324
1359579,getitfred,0,1,794,3528
1376671,floadi,447,1,622,3876
1388540,King+Koopa,104,1,1789,976
1396032,mistyace13,522,1,1110,2780
1408175,jpb81,279,1,971,3133
1443996,super-nanny,48,1,1814,1017
1446355,ivobg,219,1,1535,1655
1468706,reinhold175,57,1,350,4557
1475993,escobedo08,0,1,44,6162
1481014,JHot,425,1,845,3401
1494744,fnimac,108,1,870,3348
1497940,CarlH67,0,1,96,5601
1529200,Moslof,126,1,1230,2535
1539755,mihajlo98,0,1,194,5085
1543676,Emilio+Aguinaldo,38,1,2559,6
1552797,Jack+Carter,291,1,723,3718
1575044,anupsaha,0,1,171,5236
1581217,Randalthor78,23,1,2161,224
1590771,mitvakdonnerstag,35,1,846,3407
1591566,hdgraaf,113,1,1196,2554
1602195,emomessiah,0,1,355,4506
1605324,just8800,0,1,43,6178
1630368,17thNovember,451,1,159,5295
1634093,Xxhowisuxx,0,1,921,3308
1648036,ayushmaster,291,1,781,3552
1664224,twostamps,236,1,979,3117
1685718,pinotgrigio,85,1,570,3992
1687559,mantra,383,1,1380,2107
1690407,mtoothemax,0,1,21,6327
1696013,Mr.Obvious,0,1,159,5296
1696348,KentKelly,587,1,465,4251
1701609,SnakeRoc,209,1,119,5467
1704209,World+Winner,0,1,1079,2865
1707285,wolf22,84,1,763,3620
1712601,cheetah88,204,1,1505,1734
1742730,g0rmac,0,1,21,6328
1749605,rantallin,0,1,145,5358
1766316,lyoko590,111,1,1855,823
1766341,0311jchva,369,1,741,3644
1781557,lanezero,0,1,237,4881
1788300,bradbarry2,0,1,764,3619
1797514,JOSEPHINE42,84,1,1459,1888
1804063,queslett,108,1,1070,2897
1817299,B-RAN,152,1,2186,186
1823858,quaestor,219,1,596,3933
1831613,leosteward,0,1,594,3938
1833478,thecaper,504,1,789,3540
1845722,witman,545,1,1237,2494
1846025,Joe+2,0,1,188,5243
1846092,Razah,0,1,854,3432
1902556,pluta,0,1,239,4876
1911981,rowzica,0,1,74,5733
1913596,RicOz6,486,1,1803,944
1916197,MoneyManDragon,48,1,931,3212
1917314,zithromax,134,1,268,4782
1918975,Turtleneckin,0,1,950,3189
1944288,majorbeer,306,1,1696,1359
1948398,EVERWHAT,0,1,176,5203
1963400,Foetal,213,1,1469,1862
1985758,lnwvoshow,203,1,2088,308
2004719,RooTe,219,1,1704,1193
2005129,terpsfan6,0,1,911,3254
2020285,Jdog.,538,1,1854,854
2021174,mm92,0,1,869,3351
2022011,rasher3,407,1,2122,282
2024771,jimbo634,0,1,379,4436
2038626,BLAZER951,307,1,2405,27
2079950,WaterFear,58,1,954,3161
2093130,Solidussdad,0,1,1409,2022
2093437,xtcwarrior1,58,1,1145,2690
2095389,alanb,8,1,2066,352
2112869,bond2k7,0,1,338,4565
2119345,cristian-fernando,395,1,339,4561
2147554,Romuli,190,1,1774,1015
2167464,Disco+Geek,436,1,1569,1561
2188026,morgie666,0,1,352,4520
2189274,Portugal737,0,1,2028,444
2202754,smakaho,126,1,701,3720
2221375,joneswarrior,48,1,1518,1700
